|            obsdate |      mag | e_mag | magsys | filter | depth_5sig |  zp | observatory | detected |
|   59531.1177321412 | 16.05078 |  0.05 |     AB |      i |        nan | nan |    GHTS_RED |     True |
| 59668.397715046296 | 17.24744 |  0.05 |   Vega |      U |        nan | nan |        en12 |     True |
| 59668.397715046296 | 16.55851 |  0.05 |   Vega |      B |        nan | nan |        en12 |     True |
| 59668.397715046296 | 16.11871 |  0.05 |   Vega |      V |        nan | nan |        en12 |     True |
| 59668.397715046296 | 16.36471 |  0.05 |   Vega |      R |        nan | nan |        en12 |     True |
| 59668.397715046296 | 16.71337 |  0.05 |   Vega |      I |        nan | nan |        en12 |     True |
| 59668.397715046296 | 18.47862 |  0.05 |     AB |      u |        nan | nan |        en12 |     True |
| 59668.397715046296 | 16.13543 |  0.05 |     AB |      g |        nan | nan |        en12 |     True |
| 59668.397715046296 | 16.47144 |  0.05 |     AB |      r |        nan | nan |        en12 |     True |
| 59668.397715046296 | 16.86991 |  0.05 |     AB |      i |        nan | nan |        en12 |     True |
|    59536.854658565 | 13.34257 |  0.05 |   Vega |      U |        nan | nan |        SALT |     True |
|    59536.854658565 | 13.43404 |  0.05 |   Vega |      B |        nan | nan |        SALT |     True |
|    59536.854658565 | 13.48215 |  0.05 |   Vega |      V |        nan | nan |        SALT |     True |
|    59536.854658565 | 13.23663 |  0.05 |   Vega |      R |        nan | nan |        SALT |     True |
|    59536.854658565 | 12.90762 |  0.05 |   Vega |      I |        nan | nan |        SALT |     True |
|    59536.854658565 | 14.38227 |  0.05 |     AB |      u |        nan | nan |        SALT |     True |
|    59536.854658565 | 13.41055 |  0.05 |     AB |      g |        nan | nan |        SALT |     True |
|    59536.854658565 | 13.45306 |  0.05 |     AB |      r |        nan | nan |        SALT |     True |
|    59536.854658565 | 13.37542 |  0.05 |     AB |      i |        nan | nan |        SALT |     True |
| 59577.480289224535 | 14.60686 |  0.05 |   Vega |      U |        nan | nan |        en12 |     True |
| 59577.480289224535 | 14.56548 |  0.05 |   Vega |      B |        nan | nan |        en12 |     True |
| 59577.480289224535 | 13.32464 |  0.05 |   Vega |      V |        nan | nan |        en12 |     True |
| 59577.480289224535 | 12.98181 |  0.05 |   Vega |      R |        nan | nan |        en12 |     True |
