|     name |        ra |       dec |     d_L |               prob_vol | stmass |    prob_vol_x_stmass | rank | confidence |       obj |     note |               weight | filter | count | exptime | binning |   ra_hms |   dec_dms | maxalt |                 transit | moonsep |                               id | fraction_obs | scheduled |
|   130190 | 228.72200 |   5.61000 | 613.979 | 1.2632792430859642e-07 |   15.0 |  0.10455717753532308 |   57 |        0.5 | S240910ci |   130190 |  0.10455717753532308 |      r |     6 |     180 |       1 | 15:14:53 |  05:36:36 |   31.9 | 2024-09-12T20:27:37.480 |   56.97 | 3dbde9664eb0441c855519e108adee8e |         0.03 |     False |
|  1522859 | 242.04100 | -14.66400 | 699.855 | 1.7212137687509695e-07 |   11.0 |   0.1044697899504242 |   58 |        0.5 | S240910ci |  1522859 |   0.1044697899504242 |      r |     6 |     180 |       1 | 16:08:09 | -14:39:50 |  54.81 | 2024-09-12T21:20:54.040 |   34.41 | c2da11967ed34c35bf9c8e004e060536 |         0.20 |     False |
|  1247152 | 236.59700 |  -8.11400 | 580.627 | 1.1675276779676547e-07 |   16.0 |  0.10307427265972616 |   59 |        0.5 | S240910ci |  1247152 |  0.10307427265972616 |      r |     6 |     180 |       1 | 15:46:23 | -08:06:50 |  46.69 | 2024-09-12T20:59:07.480 |   42.41 | d77d5c9fb80641999f4cbc075272ae24 |         0.17 |     False |
|  1102290 | 226.98300 |   7.65400 | 567.293 | 1.0306080072789096e-07 |   18.0 |   0.1023597153387274 |   60 |        0.5 | S240910ci |  1102290 |   0.1023597153387274 |      r |     6 |     180 |       1 | 15:07:55 |  07:39:14 |  29.26 | 2024-09-12T20:20:40.120 |    59.6 | b64396a65c3543469936341a53cfe19a |         0.00 |     False |
|  1556213 | 237.43200 |  -9.42900 | 595.271 | 1.3241662016119867e-07 |   14.0 |  0.10229009464770909 |   61 |        0.5 | S240910ci |  1556213 |  0.10229009464770909 |      r |     6 |     180 |       1 | 15:49:43 | -09:25:44 |  48.14 | 2024-09-12T21:02:27.880 |   40.99 | 7762a8116688446eac2193881422de8e |         0.17 |     False |
|  1215967 | 231.86500 |  -1.64700 | 637.504 | 1.2316656323005665e-07 |   15.0 |   0.1019405797441949 |   62 |        0.5 | S240910ci |  1215967 |   0.1019405797441949 |      r |     6 |     180 |       1 | 15:27:27 | -01:38:49 |   39.0 | 2024-09-12T20:40:11.800 |    50.0 | 5837e844d6c04868a4e1198beaff9664 |         0.10 |     False |
|  1554681 | 233.78200 |  -3.85000 | 745.673 |  7.656118018618177e-08 |   24.0 |  0.10138713035735801 |   63 |        0.5 | S240910ci |  1554681 |  0.10138713035735801 |      r |     6 |     180 |       1 | 15:35:07 | -03:51:00 |  41.87 | 2024-09-12T20:47:51.880 |   47.15 | 342ad8f54d5d42aeaf2eded3cbe7b6b3 |         0.10 |     False |
|  1460025 | 233.26000 |  -2.74700 | 704.488 |  9.183052241229487e-08 |   20.0 |  0.10133979384684884 |   64 |        0.5 | S240910ci |  1460025 |  0.10133979384684884 |      r |     6 |     180 |       1 | 15:33:02 | -02:44:49 |  40.78 | 2024-09-12T20:45:46.600 |   48.23 | 36fa98ec56d24ccfb4b39bdb54c9b25a |         0.10 |     False |
|  1576523 | 243.48500 | -17.17800 |  635.69 |  2.016295714103902e-07 |    9.0 |  0.10012893519009299 |   65 |        0.5 | S240910ci |  1576523 |  0.10012893519009299 |      r |     6 |     180 |       1 | 16:13:56 | -17:10:40 |  57.31 | 2024-09-12T21:26:40.600 |    32.0 | 649ec08d9dcd404d8c28af7cba360561 |         0.23 |     False |
|  1522835 | 241.76000 | -15.64700 | 717.849 | 2.2585430132115817e-07 |    8.0 |  0.09969679024855457 |   66 |        0.5 | S240910ci |  1522835 |  0.09969679024855457 |      r |     6 |     180 |       1 | 16:07:02 | -15:38:49 |  55.11 | 2024-09-12T21:19:46.600 |   34.18 | c8b6c03449aa4f50901b6419f01086b8 |         0.20 |     False |
|  1576576 | 244.46100 | -17.85500 | 780.224 | 1.4805109222357106e-07 |   12.0 |  0.09802921743145378 |   67 |        0.5 | S240910ci |  1576576 |  0.09802921743145378 |      r |     6 |     180 |       1 | 16:17:50 | -17:51:18 |  58.46 | 2024-09-12T21:30:34.840 |   30.87 | 902c9bbc8154425d9fd198d050975e4c |         0.23 |     False |
|  1466494 | 253.80100 | -25.33500 | 763.394 | 1.3514064015925754e-07 |   13.0 |  0.09693751837253792 |   68 |        0.5 | S240910ci |  1466494 |  0.09693751837253792 |      r |     6 |     180 |       1 | 16:55:12 | -25:20:06 |  69.49 | 2024-09-12T22:07:56.440 |    20.1 | 43fddec9807f4a248d940dd4c493f1ca |         0.33 |      True |
|  1523385 | 242.25500 | -16.54000 | 792.239 | 1.0298342106789734e-07 |   17.0 |  0.09660036735837906 |   69 |        0.5 | S240910ci |  1523385 |  0.09660036735837906 |      r |     6 |     180 |       1 | 16:09:01 | -16:32:23 |  55.97 | 2024-09-12T21:21:45.400 |   33.34 | 59b9e484fe4f430382a4692bf8a53c9b |         0.23 |     False |
|  1522712 | 240.18400 | -13.71700 | 641.161 |  2.187926803110149e-07 |    8.0 |   0.0965795806707171 |   70 |        0.5 | S240910ci |  1522712 |   0.0965795806707171 |      r |     6 |     180 |       1 | 16:00:44 | -13:43:01 |  52.79 | 2024-09-12T21:13:28.360 |   36.45 | b8b7dc4754a54b298f9aff6fdfc49489 |         0.20 |     False |
|  1576511 | 243.08900 | -15.73500 | 606.679 | 1.4583904844879906e-07 |   12.0 |   0.0965645245447758 |   71 |        0.5 | S240910ci |  1576511 |   0.0965645245447758 |      r |     6 |     180 |       1 | 16:12:21 | -15:44:05 |  56.24 | 2024-09-12T21:25:05.560 |   33.01 | 875e05e3c61a4b5496e533b7cd7e49cb |         0.23 |     False |
