obj ra dec priority note dist ebv muvmag maxaxis minaxis
242 219.42 52.04 50318.23 "[83643, 88139]" 100 0 -20 10 10
243 208.82 28.72 50317.17 "[88053, 90432, 1024950]" 100 0 -20 10 10
244 261.82 11.76 50237.74 "[90984, 1024795]" 100 0 -20 10 10
245 348.74 -42.3 50221.613 "[1261129, 2647936, 2647960]" 100 0 -20 10 10
247 140.98 34.02 50198.137 "[1024509, 2206396]" 100 0 -20 10 10
246 168.54 -26.4 50198.137 "[1150799, 1171482]" 100 0 -20 10 10
248 224.72 -7.32 50158.516 "[1150867, 1324786]" 100 0 -20 10 10
249 192.92 -0.96 50138.656 "[1261098, 2396053]" 100 0 -20 10 10
250 23.32 -29.58 50134.55 "[1261115, 2074287]" 100 0 -20 10 10
255 326.48 -34.88 50118.703 [1151484] 100 0 -20 10 10
260 352.98 -45.48 50118.703 [1261204] 100 0 -20 10 10
259 145.22 -4.14 50118.703 [1261092] 100 0 -20 10 10
