recno,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g_mag,e_g_mag,r_mag,e_r_mag,i_mag,e_i_mag
7277251,118.501906,59.350161,1.144,0.713,20152436,2,10,0.579,0.175,15.428,0.061,16.007,0.164,15.377,0.049,15.230,0.077,15.108,0.059
7277254,118.452373,59.421066,0.712,0.708,20152435,3,12,0.715,0.032,16.039,0.032,16.753,0.000,16.314,0.072,15.832,0.019,15.630,0.124
7277256,118.422054,59.457429,0.711,0.830,20152436,6,23,0.532,0.264,15.770,0.118,16.302,0.236,15.910,0.258,15.551,0.059,15.371,0.112
7277257,118.427748,59.430845,1.124,0.707,20152436,6,17,0.477,0.286,16.181,0.121,16.658,0.259,16.351,0.363,16.076,0.128,15.495,0.000
7277258,118.340752,59.439344,0.715,0.515,20152436,6,17,1.134,0.092,16.058,0.092,17.192,0.000,16.592,0.317,15.508,0.056,15.106,0.151
7277259,118.718979,59.331136,0.778,0.464,20152435,5,17,0.832,0.093,15.359,0.077,16.191,0.053,15.692,0.078,15.048,0.065,14.847,0.104
7277260,118.718811,59.330989,0.803,1.395,20152436,2,8,0.684,0.101,15.244,0.000,15.929,0.101,15.335,0.071,15.089,0.000,14.742,0.017
7277261,118.768291,59.336207,0.241,0.270,20152436,7,30,0.541,0.156,13.965,0.068,14.506,0.141,14.110,0.199,13.762,0.049,13.568,0.076
7277263,118.681169,59.368590,0.419,0.722,20152436,5,18,0.576,0.193,15.525,0.056,16.101,0.185,15.763,0.088,15.287,0.006,15.174,0.171
7277264,118.748842,59.380347,0.655,0.834,20152436,6,21,0.820,0.208,15.684,0.118,16.504,0.171,15.889,0.191,15.368,0.079,15.126,0.095
7277265,118.781601,59.409834,0.279,0.359,20152436,7,30,0.551,0.177,14.528,0.089,15.079,0.154,14.670,0.213,14.326,0.040,14.148,0.090
7277266,118.803952,59.377597,0.321,0.423,20152436,7,30,0.526,0.194,14.493,0.076,15.019,0.179,14.638,0.193,14.294,0.072,14.120,0.151
